Category: All categories

Week,Coronavirus: (Rhode Island)
2019-08-04,<1
2019-08-11,<1
2019-08-18,0
2019-08-25,0
2019-09-01,<1
2019-09-08,<1
2019-09-15,0
2019-09-22,<1
2019-09-29,0
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,0
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,0
2019-12-08,<1
2019-12-15,0
2019-12-22,0
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,4
2020-01-26,13
2020-02-02,8
2020-02-09,5
2020-02-16,4
2020-02-23,17
2020-03-01,41
2020-03-08,76
2020-03-15,100
2020-03-22,71
2020-03-29,60
2020-04-05,54
2020-04-12,44
2020-04-19,36
2020-04-26,22
2020-05-03,19
2020-05-10,17
2020-05-17,14
2020-05-24,12
2020-05-31,9
2020-06-07,9
2020-06-14,9
2020-06-21,10
2020-06-28,10
2020-07-05,11
2020-07-12,11
2020-07-19,9
2020-07-26,7
