Category: All categories

Week,Coronavirus: (Chico-Redding CA)
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,<1
2020-01-19,4
2020-01-26,17
2020-02-02,10
2020-02-09,7
2020-02-16,7
2020-02-23,19
2020-03-01,25
2020-03-08,65
2020-03-15,100
2020-03-22,75
2020-03-29,66
2020-04-05,64
2020-04-12,46
2020-04-19,41
2020-04-26,22
2020-05-03,17
2020-05-10,21
2020-05-17,15
2020-05-24,14
2020-05-31,9
2020-06-07,11
2020-06-14,7
2020-06-21,13
2020-06-28,16
2020-07-05,15
2020-07-12,15
2020-07-19,13
